league_name,team_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Eredivisie,FC Twente '65,W,W,W,L,W,D,L,W,L,W,W,W,D,D,W,D,W,D,D,D,W,L,L,D,W,W,D,W,L,D,W,W,W,P,P,P,P,P
Eredivisie,AFC Ajax,W,W,W,W,W,W,L,D,W,W,W,D,L,D,D,D,D,D,W,W,W,W,W,W,W,L,D,W,W,L,D,W,W,P,P,P,P,P
Eredivisie,Sparta Rotterdam,D,L,L,W,W,L,W,D,W,W,L,W,W,D,D,W,W,D,D,D,W,L,L,W,W,W,L,W,W,D,L,L,W,P,P,P,P,P
Ligue 1,Olympique Lyonnais,W,L,W,D,W,W,L,L,L,D,L,W,W,L,D,W,L,D,L,W,D,W,W,L,W,D,D,D,W,W,W,L,W,W,L,W,P,P
Ligue 1,RC Strasbourg Alsace,L,D,D,L,D,D,D,L,L,W,L,D,D,L,D,L,L,D,W,L,L,W,L,W,D,L,D,W,L,L,W,W,L,W,W,D,P,P
Ligue 1,Clermont Foot 63,L,W,W,L,L,W,D,L,W,W,D,L,D,D,L,L,W,W,W,D,D,L,L,L,D,W,L,L,W,W,W,W,W,D,W,L,P,P
Ligue 1,Toulouse FC,D,W,D,L,L,L,W,L,W,D,W,D,L,L,L,L,W,W,D,W,W,L,W,L,L,L,W,L,L,W,L,W,L,D,D,D,P,P
Ligue 1,Racing Club de Lens,W,D,W,W,W,D,W,D,W,L,W,W,W,W,W,D,W,D,W,D,L,D,L,W,D,D,W,W,W,W,L,W,W,W,W,W,P,P
Ligue 1,Montpellier HSC,W,L,L,W,W,L,L,W,L,L,L,L,L,D,D,W,L,L,L,W,L,L,W,W,D,W,W,W,D,L,L,W,W,L,D,W,P,P
Ligue 1,Lille OSC,W,D,L,W,L,W,L,W,L,W,W,W,L,D,W,W,D,D,W,L,D,W,W,L,W,D,D,W,W,L,W,D,W,L,D,W,P,P
